Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,flops_log,flops_threshold,is_matmul_candidate,is_attention_candidate,elementwise_add_fma_ops,role
"void sgemm_largek_lds64<1, 0, 6, 3, 4, 5, 2, 66>(float *, const float *, const float *, int, int, int, int, int, int, const float *, const float *, float, float, int, int, int *, int *)",610.5,537920512.0,1075314688.0,1050624.0,0.0,0.0,1076365312.0,1076365312.0,10753024.0,3491284.25,0.7549254901305503,282895476.0,2128344.0,163.76,31730.328000000005,0.0,524288.0,537395200.0,525312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8840483.625,66510.75,20.796855751288497,14.531163642219347,True,True,0,Q
"void scal_kernel<float, float, 1, 1, 6, 5, 5, 3>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)",611.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,156912.0,3.08,31733.408000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4903.5,0.0,14.531163642219347,False,False,0,other
"void sgemm_largek_lds64<1, 0, 6, 3, 4, 5, 2, 66>(float *, const float *, const float *, int, int, int, int, int, int, const float *, const float *, float, float, int, int, int *, int *)",612.5,537920512.0,1075314688.0,1050624.0,0.0,0.0,1076365312.0,1076365312.0,10753024.0,3494607.25,0.7547541769462669,282714068.0,2128568.0,163.396,31896.804000000004,0.0,524288.0,537395200.0,525312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8834814.625,66517.75,20.796855751288497,14.531163642219347,True,True,0,K
"void scal_kernel<float, float, 1, 1, 6, 5, 5, 3>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)",613.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,157504.0,3.104,31899.908000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4922.0,0.0,14.531163642219347,False,False,0,other
"void sgemm_largek_lds64<1, 0, 6, 3, 4, 5, 2, 66>(float *, const float *, const float *, int, int, int, int, int, int, const float *, const float *, float, float, int, int, int *, int *)",614.5,537920512.0,1075314688.0,1050624.0,0.0,0.0,1076365312.0,1076365312.0,10753024.0,3492194.625,0.7548895667553261,282667536.0,2128292.0,161.8,32061.708,0.0,524288.0,537395200.0,525312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8833360.5,66509.125,20.796855751288497,14.531163642219347,True,True,0,V
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",615.5,65536.0,32768.0,131072.0,0.0,0.0,163840.0,163840.0,0.0,3072.0,0.0,196608.0,131072.0,4.76,32066.468,0.0,32768.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.0,4096.0,12.006651724330279,14.531163642219347,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",616.5,24576.0,16384.0,49152.0,0.0,0.0,65536.0,65536.0,0.0,1024.0,0.0,65536.0,65536.0,4.5920000000000005,32071.060000000005,16384.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,2048.0,11.090370147631774,14.531163642219347,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",617.5,65536.0,0.0,131072.0,0.0,0.0,131072.0,131072.0,0.0,2048.0,0.0,131072.0,131072.0,6.084,32077.144,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,4096.0,11.783509698884497,14.531163642219347,False,False,0,add
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",618.5,65536.0,32768.0,131072.0,0.0,0.0,163840.0,163840.0,0.0,3072.0,0.0,196608.0,131072.0,4.82,32081.964,0.0,32768.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.0,4096.0,12.006651724330279,14.531163642219347,False,False,0,other
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",619.5,32768.0,65536.0,0.0,0.0,0.0,65536.0,65536.0,0.0,768.0,0.0,262144.0,131072.0,3.468,32085.432,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,4096.0,11.090370147631774,14.531163642219347,False,False,0,add
