Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,flops_log,flops_threshold,is_matmul_candidate,is_attention_candidate,elementwise_add_fma_ops,role
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 9, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",727.0,1116160.0,2131968.0,133120.0,0.0,0.0,2265088.0,2265088.0,17408.0,66560.0,0.20731707317073175,4456448.0,2048.0,8.6,4130.847999999993,32768.0,0.0,1049600.0,66560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.633124609725533,11.325753054083737,True,False,0,Q
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 9, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",728.0,1116160.0,2131968.0,133120.0,0.0,0.0,2265088.0,2265088.0,17408.0,66560.0,0.20731707317073175,4456448.0,2048.0,8.576,4139.423999999994,32768.0,0.0,1049600.0,66560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.633124609725533,11.325753054083737,True,False,0,K
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 9, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",729.0,1116160.0,2131968.0,133120.0,0.0,0.0,2265088.0,2265088.0,17408.0,66560.0,0.20731707317073175,4456448.0,2048.0,8.578666666666667,4148.002666666661,32768.0,0.0,1049600.0,66560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.633124609725533,11.325753054083737,True,False,0,V
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",730.0,2048.0,1024.0,4096.0,0.0,0.0,5120.0,5120.0,0.0,96.0,0.0,6144.0,4096.0,3.0453333333333332,4151.0479999999925,0.0,1024.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54110501146255,11.325753054083737,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",731.0,768.0,512.0,1536.0,0.0,0.0,2048.0,2048.0,0.0,32.0,0.0,2048.0,2048.0,3.0613333333333332,4154.109333333327,512.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",732.0,174080.0,0.0,348160.0,0.0,0.0,348160.0,348160.0,0.0,64.0,0.0,4096.0,4096.0,3.72,4157.829333333327,0.0,0.0,0.0,174080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.760420295448183,11.325753054083737,True,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",733.0,2048.0,1024.0,4096.0,0.0,0.0,5120.0,5120.0,0.0,96.0,0.0,6144.0,4096.0,3.0613333333333332,4160.89066666666,0.0,1024.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54110501146255,11.325753054083737,False,False,0,other
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",734.0,1024.0,2048.0,0.0,0.0,0.0,2048.0,2048.0,0.0,24.0,0.0,8192.0,4096.0,2.6186666666666665,4163.509333333326,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",735.0,2048.0,1024.0,4096.0,0.0,0.0,5120.0,5120.0,0.0,96.0,0.0,6144.0,4096.0,3.0506666666666664,4166.559999999993,0.0,1024.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54110501146255,11.325753054083737,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",736.0,768.0,512.0,1536.0,0.0,0.0,2048.0,2048.0,0.0,32.0,0.0,2048.0,2048.0,3.0399999999999996,4169.599999999992,512.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",737.0,174080.0,0.0,348160.0,0.0,0.0,348160.0,348160.0,0.0,64.0,0.0,4096.0,4096.0,3.693333333333334,4173.293333333327,0.0,0.0,0.0,174080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.760420295448183,11.325753054083737,True,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",738.0,2048.0,1024.0,4096.0,0.0,0.0,5120.0,5120.0,0.0,96.0,0.0,6144.0,4096.0,3.0559999999999996,4176.349333333326,0.0,1024.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54110501146255,11.325753054083737,False,False,0,other
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",739.0,1024.0,2048.0,0.0,0.0,0.0,2048.0,2048.0,0.0,24.0,0.0,8192.0,4096.0,2.5946666666666665,4178.943999999993,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 128, 1>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",740.0,1536.0,0.0,3072.0,0.0,0.0,3072.0,3072.0,0.0,80.0,0.0,8192.0,8192.0,2.623999999999999,4181.567999999994,0.0,0.0,0.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.030409562130485,11.325753054083737,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 128, 1>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",741.0,1536.0,0.0,3072.0,0.0,0.0,3072.0,3072.0,0.0,80.0,0.0,8192.0,8192.0,2.573333333333333,4184.141333333327,0.0,0.0,0.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.030409562130485,11.325753054083737,False,False,0,other
"fmha_cutlassF_f32_aligned_64x128_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::Sm80, 1, 64, 128, 128, 1, 1>::Params)",742.0,16317.333333333334,1504082.6666666667,0.0,0.0,0.0,1504082.6666666667,1504082.6666666667,8323.75,16.0,0.9980814768850906,20480.0,4096.0,20.226666666666667,4204.367999999994,1273308.5833333333,198139.41666666666,16317.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.223694411377286,11.325753054083737,True,True,0,Attention
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 9, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",743.0,1116160.0,2131968.0,133120.0,0.0,0.0,2265088.0,2265088.0,17408.0,66560.0,0.20731707317073175,4456448.0,2048.0,8.653333333333334,4213.021333333327,32768.0,0.0,1049600.0,66560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.633124609725533,11.325753054083737,True,False,0,Wo
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",744.0,1024.0,2048.0,0.0,0.0,0.0,2048.0,2048.0,0.0,24.0,0.0,8192.0,4096.0,2.5866666666666664,4215.607999999994,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,1024,elementwise_add
"void native::vectorized_elementwise_kernel<4, void native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",745.0,0.0,1024.0,0.0,0.0,0.0,1024.0,1024.0,0.0,16.0,0.0,4096.0,4096.0,2.5759999999999996,4218.183999999993,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.932447891572509,11.325753054083737,False,False,0,other
"void native::reduce_kernel<512, 1, native::ReduceOp<float, native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)",746.0,768.0,3297.0,1536.0,0.0,0.0,4833.0,4833.0,22.0,9.0,0.7096774193548389,4096.0,32.0,3.4026666666666667,4221.586666666661,3296.0,1.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.483429561263428,11.325753054083737,False,True,0,other
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",747.0,1024.0,2048.0,0.0,0.0,0.0,2048.0,2048.0,0.0,2.0,0.0,32.0,32.0,2.3999999999999995,4223.98666666666,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,0,other
"void native::vectorized_elementwise_kernel<4, native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,32.0,2.573333333333333,4226.559999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.325753054083737,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",749.0,2048.0,1024.0,4096.0,0.0,0.0,5120.0,5120.0,0.0,96.0,0.0,4224.0,4096.0,2.984,4229.5439999999935,0.0,1024.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54110501146255,11.325753054083737,False,False,0,other
"void native::vectorized_elementwise_kernel<4, native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 3>>(int, T2, T3)",750.0,0.0,1024.0,0.0,0.0,0.0,1024.0,1024.0,0.0,24.0,0.0,8192.0,4096.0,2.597333333333333,4232.141333333328,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.932447891572509,11.325753054083737,False,False,0,other
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 5, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",751.0,4235264.0,8429568.0,73728.0,0.0,0.0,8503296.0,8503296.0,11264.0,263168.0,0.041044776119402895,17145232.0,29256.0,22.84533333333333,4254.986666666659,32768.0,0.0,4198400.0,36864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.955964528606573,11.325753054083737,True,False,0,FFN1
"void native::vectorized_elementwise_kernel<4, native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",752.0,45056.0,86016.0,8192.0,0.0,0.0,94208.0,94208.0,0.0,64.0,0.0,16384.0,16384.0,2.9546666666666663,4257.941333333328,4096.0,0.0,40960.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.453270997401939,11.325753054083737,True,False,0,other
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 5, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",753.0,4235264.0,8429568.0,73728.0,0.0,0.0,8503296.0,8503296.0,11264.0,263168.0,0.041044776119402895,17149688.0,29090.666666666668,23.304000000000002,4281.245333333327,32768.0,0.0,4198400.0,36864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.955964528606573,11.325753054083737,True,False,0,FFN2
"void native::vectorized_elementwise_kernel<4, native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 3>>(int, T2, T3)",754.0,0.0,4096.0,0.0,0.0,0.0,4096.0,4096.0,0.0,96.0,0.0,32768.0,16384.0,2.5759999999999996,4283.821333333327,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.318010277546872,11.325753054083737,False,False,0,other
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 9, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",755.0,4261888.0,8423424.0,133120.0,0.0,0.0,8556544.0,8556544.0,17408.0,263168.0,0.06204379562043791,17835008.0,2048.0,23.013333333333335,4306.834666666659,32768.0,0.0,4195328.0,66560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.962207045145517,11.325753054083737,True,False,0,FFN3
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",756.0,1024.0,2048.0,0.0,0.0,0.0,2048.0,2048.0,0.0,24.0,0.0,8192.0,4096.0,2.5866666666666664,4309.421333333327,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6251071482389,11.325753054083737,False,False,1024,elementwise_add
"void native::vectorized_elementwise_kernel<4, void native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",757.0,0.0,1024.0,0.0,0.0,0.0,1024.0,1024.0,0.0,16.0,0.0,4096.0,4096.0,2.549333333333333,4311.97066666666,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.932447891572509,11.325753054083737,False,False,0,other
"void native::reduce_kernel<512, 1, native::ReduceOp<float, native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)",758.0,768.0,3297.0,1536.0,0.0,0.0,4833.0,4833.0,22.0,9.0,0.7096774193548389,4096.0,32.0,3.4026666666666667,4315.373333333327,3296.0,1.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.483429561263428,11.325753054083737,False,True,0,other
